Date,Drug_Name,Brand_Name,Strength,Opening_Stock,Received_Qty,Issued_Qty,Closing_Stock,Shortage_Flag,Lead_Time,USD_Rate
2020-01-01,Metformin,Glilcomet,500mg,500.0,4288.0,4084.0,704.0,0,7.0,181.3
2020-02-01,Metformin,Glilcomet,500mg,704.0,2888.0,2750.0,842.0,0,8.0,181.5
2020-03-01,Metformin,Glilcomet,500mg,842.0,3329.0,3170.0,1001.0,0,6.0,185.3
2020-04-01,Metformin,Glilcomet,500mg,1001.0,4293.0,4089.0,1205.0,0,9.0,192.5
2020-05-01,Metformin,Glilcomet,500mg,1205.0,4122.0,3926.0,1401.0,0,7.0,188.2
2020-06-01,Metformin,Glilcomet,500mg,1401.0,4343.0,4136.0,1608.0,0,10.0,186.4
2020-07-01,Metformin,Glilcomet,500mg,1608.0,3783.0,3603.0,1788.0,0,8.0,185.9
2020-08-01,Metformin,Glilcomet,500mg,1788.0,4767.0,4540.0,2015.0,0,7.0,184.2
2020-09-01,Metformin,Glilcomet,500mg,2015.0,4521.0,4306.0,2230.0,0,9.0,184.8
2020-10-01,Metformin,Glilcomet,500mg,2230.0,3921.0,3734.0,2417.0,0,6.0,184.5
2020-11-01,Metformin,Glilcomet,500mg,2417.0,4494.0,4280.0,2631.0,0,8.0,185.1
2020-12-01,Metformin,Glilcomet,500mg,2631.0,4065.0,3871.0,2825.0,0,11.0,186.7
2021-01-01,Metformin,Glilcomet,500mg,2825.0,3403.0,3241.0,2987.0,0,9.0,190.2
2021-02-01,Metformin,Glilcomet,500mg,2987.0,4251.0,4049.0,3189.0,0,10.0,194.5
2021-03-01,Metformin,Glilcomet,500mg,3189.0,3644.0,3470.0,3363.0,0,12.0,198.1
2021-04-01,Metformin,Glilcomet,500mg,3363.0,4995.0,4757.0,3601.0,0,8.0,201.3
2021-05-01,Metformin,Glilcomet,500mg,3601.0,4460.0,4248.0,3813.0,0,11.0,200.5
2021-06-01,Metformin,Glilcomet,500mg,3813.0,4403.0,4193.0,4023.0,0,7.0,201.8
2021-07-01,Metformin,Glilcomet,500mg,4023.0,4036.0,3844.0,4215.0,0,9.0,202.4
2021-08-01,Metformin,Glilcomet,500mg,4215.0,5217.0,4969.0,4463.0,0,8.0,203.1
2021-09-01,Metformin,Glilcomet,500mg,4463.0,4087.0,3892.0,4658.0,0,10.0,203.5
2021-10-01,Metformin,Glilcomet,500mg,4658.0,3784.0,3604.0,4838.0,0,11.0,203.2
2021-11-01,Metformin,Glilcomet,500mg,4838.0,3742.0,3564.0,5016.0,0,7.0,203.8
2021-12-01,Metformin,Glilcomet,500mg,5016.0,4267.0,4064.0,5219.0,0,13.0,204.5
2022-01-01,Metformin,Glilcomet,500mg,5219.0,4251.0,4049.0,5421.0,0,14.0,205.1
2022-02-01,Metformin,Glilcomet,500mg,5421.0,4450.0,4238.0,5633.0,0,11.0,208.4
2022-03-01,Metformin,Glilcomet,500mg,5633.0,4666.0,4444.0,5855.0,0,15.0,290.5
2022-04-01,Metformin,Glilcomet,500mg,5855.0,6276.0,5977.0,6154.0,0,18.0,320.1
2022-05-01,Metformin,Glilcomet,500mg,6154.0,4395.0,4186.0,6363.0,0,14.0,355.4
2022-06-01,Metformin,Glilcomet,500mg,6363.0,4358.0,4150.0,6571.0,0,12.0,360.2
2022-07-01,Metformin,Glilcomet,500mg,6571.0,4113.0,3917.0,6767.0,0,11.0,362.5
2022-08-01,Metformin,Glilcomet,500mg,6767.0,4952.0,4716.0,7003.0,0,15.0,361.8
2022-09-01,Metformin,Glilcomet,500mg,7003.0,5150.0,4905.0,7248.0,0,10.0,363.2
2022-10-01,Metformin,Glilcomet,500mg,7248.0,4124.0,3928.0,7444.0,0,9.0,365.1
2022-11-01,Metformin,Glilcomet,500mg,7444.0,3615.0,3443.0,7616.0,0,12.0,366.5
2022-12-01,Metformin,Glilcomet,500mg,7616.0,3619.0,3447.0,7788.0,0,13.0,368.2
2023-01-01,Metformin,Glilcomet,500mg,7788.0,4613.0,4393.0,8008.0,0,14.0,365.4
2023-02-01,Metformin,Glilcomet,500mg,8008.0,4860.0,4629.0,8239.0,0,12.0,362.1
2023-03-01,Metformin,Glilcomet,500mg,8239.0,4933.0,4698.0,8474.0,0,11.0,340.5
2023-04-01,Metformin,Glilcomet,500mg,8474.0,4282.0,4078.0,8678.0,0,15.0,325.2
2023-05-01,Metformin,Glilcomet,500mg,8678.0,5030.0,4790.0,8918.0,0,8.0,315.8
2023-06-01,Metformin,Glilcomet,500mg,8918.0,4978.0,4741.0,9155.0,0,9.0,310.4
2023-07-01,Metformin,Glilcomet,500mg,9155.0,4992.0,4754.0,9393.0,0,7.0,312.1
2023-08-01,Metformin,Glilcomet,500mg,9393.0,5349.0,5094.0,9648.0,0,8.0,315.6
2023-09-01,Metformin,Glilcomet,500mg,9648.0,4675.0,4452.0,9871.0,0,7.0,318.9
2023-10-01,Metformin,Glilcomet,500mg,9871.0,4829.0,4599.0,10101.0,0,10.0,320.5
2023-11-01,Metformin,Glilcomet,500mg,10101.0,4307.0,4102.0,10306.0,0,11.0,322.1
2023-12-01,Metformin,Glilcomet,500mg,10306.0,4447.0,4235.0,10518.0,0,9.0,324.5
2024-01-01,Metformin,Glilcomet,500mg,10518.0,4782.0,4554.0,10746.0,0,10.0,323.8
2024-02-01,Metformin,Glilcomet,500mg,10746.0,3633.0,3460.0,10919.0,0,12.0,318.2
